transaction_id,customer_id,product_id,quantity,transaction_date,discount_applied,revenue
11176,722,12,3,2024-07-02 12:40:43,0.0,95.52
11382,446,33,5,2024-07-02 13:40:43,0.0,1010.05
11710,900,45,3,2024-07-02 17:40:43,0.0,344.52
12750,500,13,2,2024-07-02 18:40:43,0.0,427.32
11182,645,39,4,2024-07-02 20:40:43,0.0,1907.92
13863,608,7,4,2024-07-02 21:40:43,0.0,1392.4
12587,532,48,2,2024-07-02 23:40:43,0.0,832.8
12178,239,4,3,2024-07-03 10:40:43,0.0,1095.72
14091,49,34,4,2024-07-03 12:40:43,0.1,1198.6920000000002
12611,364,23,3,2024-07-03 13:40:43,0.0,295.04999999999995
13768,694,22,1,2024-07-03 17:40:43,0.3,194.57199999999997
10320,569,31,3,2024-07-03 20:40:43,0.0,1492.6200000000001
13390,183,3,5,2024-07-04 01:40:43,0.0,876.5
12585,528,30,2,2024-07-04 06:40:43,0.0,154.26
10509,946,18,3,2024-07-04 07:40:43,0.0,1444.59
10231,474,7,4,2024-07-04 10:40:43,0.0,1392.4
14384,25,32,2,2024-07-05 05:40:43,0.0,536.68
11134,383,39,5,2024-07-05 06:40:43,0.0,2384.9
11260,976,40,2,2024-07-05 09:40:43,0.0,532.08
14247,618,26,1,2024-07-05 20:40:43,0.0,433.34
12613,212,30,1,2024-07-06 04:40:43,0.1,69.417
10803,529,3,2,2024-07-06 05:40:43,0.0,350.6
13890,410,7,1,2024-07-06 09:40:43,0.1,313.29
12912,364,27,5,2024-07-06 10:40:43,0.0,1229.25
13198,50,42,5,2024-07-06 11:40:43,0.1,1057.0049999999999
12621,102,26,5,2024-07-06 16:40:43,0.0,2166.7
13205,245,1,4,2024-07-06 16:40:43,0.0,1627.32
13817,803,32,2,2024-07-06 23:40:43,0.0,536.68
13596,236,7,2,2024-07-07 01:40:43,0.2,556.96
12759,507,15,5,2024-07-07 02:40:43,0.1,1723.1850000000002
12604,947,25,1,2024-07-07 08:40:43,0.2,227.864
11955,887,31,3,2024-07-07 13:40:43,0.0,1492.6200000000001
14172,791,1,5,2024-07-07 14:40:43,0.0,2034.1499999999999
10403,669,3,2,2024-07-08 05:40:43,0.1,315.54
11113,433,32,2,2024-07-08 15:40:43,0.1,483.01199999999994
11172,914,9,4,2024-07-09 00:40:43,0.0,1864.0
14131,334,23,5,2024-07-09 04:40:43,0.0,491.75
10366,669,38,5,2024-07-09 06:40:43,0.1,941.7150000000001
13407,886,24,4,2024-07-09 09:40:43,0.2,751.0720000000001
11346,992,15,3,2024-07-09 12:40:43,0.0,1148.79
11880,552,49,4,2024-07-09 14:40:43,0.0,1474.96
10889,574,22,3,2024-07-09 16:40:43,0.1,750.492
10495,644,25,4,2024-07-09 23:40:43,0.2,911.456
13418,318,8,5,2024-07-10 01:40:43,0.0,1740.75
11223,643,2,2,2024-07-10 02:40:43,0.0,948.44
10841,783,48,5,2024-07-10 15:40:43,0.0,2082.0
11990,880,21,1,2024-07-10 22:40:43,0.2,306.25600000000003
12257,224,12,5,2024-07-11 07:40:43,0.1,143.28
14309,469,6,2,2024-07-11 14:40:43,0.1,71.47800000000001
14138,575,46,1,2024-07-11 21:40:43,0.0,16.38
14117,200,49,5,2024-07-11 21:40:43,0.0,1843.7
11735,960,36,4,2024-07-11 22:40:43,0.2,1030.08
13438,305,22,3,2024-07-12 01:40:43,0.0,833.8799999999999
14617,521,29,1,2024-07-12 02:40:43,0.2,272.344
11610,953,32,2,2024-07-12 05:40:43,0.0,536.68
12144,778,31,1,2024-07-12 10:40:43,0.2,398.03200000000004
10872,557,1,3,2024-07-12 11:40:43,0.0,1220.49
13951,917,25,5,2024-07-12 11:40:43,0.1,1281.735
11352,223,19,1,2024-07-12 17:40:43,0.2,251.4
10884,206,12,3,2024-07-12 22:40:43,0.0,95.52
13798,402,28,5,2024-07-12 23:40:43,0.2,1799.4400000000003
12272,221,38,2,2024-07-12 23:40:43,0.0,418.54
13631,634,33,5,2024-07-13 00:40:43,0.0,1010.05
13234,902,21,3,2024-07-13 01:40:43,0.0,1148.46
13444,584,44,1,2024-07-13 04:40:43,0.0,96.29
11821,712,17,3,2024-07-13 17:40:43,0.0,1425.1200000000001
13556,785,7,5,2024-07-13 19:40:43,0.0,1740.5
10534,314,48,2,2024-07-14 02:40:43,0.0,832.8
14962,96,18,3,2024-07-14 05:40:43,0.0,1444.59
12572,641,33,2,2024-07-14 09:40:43,0.1,363.618
13915,720,35,4,2024-07-14 11:40:43,0.0,253.44
13877,129,31,1,2024-07-14 12:40:43,0.0,497.54
14322,981,34,5,2024-07-14 15:40:43,0.3,1165.395
13442,232,27,5,2024-07-14 17:40:43,0.0,1229.25
14591,586,44,5,2024-07-14 18:40:43,0.0,481.45000000000005
12995,16,42,1,2024-07-14 20:40:43,0.0,234.89
14036,274,30,3,2024-07-14 23:40:43,0.0,231.39
10370,518,31,2,2024-07-15 05:40:43,0.0,995.08
13980,114,17,2,2024-07-15 08:40:43,0.0,950.08
10250,701,29,4,2024-07-15 14:40:43,0.2,1089.376
12937,144,9,2,2024-07-16 04:40:43,0.1,838.8000000000001
12831,529,48,4,2024-07-16 06:40:43,0.0,1665.6
10249,674,3,4,2024-07-16 09:40:43,0.0,701.2
10923,429,21,3,2024-07-16 10:40:43,0.0,1148.46
10535,161,46,1,2024-07-16 15:40:43,0.1,14.741999999999999
12729,540,49,2,2024-07-16 21:40:43,0.0,737.48
10709,45,27,3,2024-07-16 22:40:43,0.2,590.04
12968,387,47,3,2024-07-17 03:40:43,0.0,50.849999999999994
13623,597,43,3,2024-07-17 16:40:43,0.0,1381.5
11883,385,48,1,2024-07-17 16:40:43,0.0,416.4
11596,367,44,5,2024-07-17 16:40:43,0.0,481.45000000000005
13644,862,30,2,2024-07-17 17:40:43,0.0,154.26
13072,976,35,4,2024-07-17 19:40:43,0.0,253.44
14027,341,47,2,2024-07-17 23:40:43,0.0,33.9
11716,912,36,5,2024-07-18 00:40:43,0.1,1448.55
13802,294,27,1,2024-07-18 04:40:43,0.3,172.095
14556,353,44,4,2024-07-18 05:40:43,0.0,385.16
14715,824,20,2,2024-07-18 08:40:43,0.1,837.072
12400,778,11,3,2024-07-18 08:40:43,0.0,368.46
11568,338,33,4,2024-07-18 11:40:43,0.0,808.04
10424,283,41,5,2024-07-18 13:40:43,0.0,586.85
13299,551,45,2,2024-07-18 16:40:43,0.0,229.68
10359,831,22,1,2024-07-18 17:40:43,0.1,250.164
12571,247,4,4,2024-07-18 20:40:43,0.1,1314.864
12268,653,5,3,2024-07-18 21:40:43,0.0,822.06
14141,68,20,5,2024-07-18 22:40:43,0.1,2092.6800000000003
12361,321,41,3,2024-07-19 00:40:43,0.0,352.11
10523,366,26,5,2024-07-19 00:40:43,0.3,1516.6899999999998
14280,214,11,2,2024-07-19 02:40:43,0.0,245.64
13350,990,50,2,2024-07-19 02:40:43,0.0,367.94
12636,43,34,2,2024-07-19 03:40:43,0.1,599.3460000000001
13551,368,12,2,2024-07-19 05:40:43,0.0,63.68
12936,763,13,5,2024-07-19 05:40:43,0.0,1068.3
11546,781,48,2,2024-07-19 07:40:43,0.1,749.52
13104,538,21,5,2024-07-19 07:40:43,0.1,1722.69
11057,504,16,4,2024-07-19 09:40:43,0.0,734.36
13660,426,2,3,2024-07-19 12:40:43,0.2,1138.1280000000002
11232,945,14,2,2024-07-19 18:40:43,0.0,315.88
11205,93,21,4,2024-07-19 19:40:43,0.0,1531.28
10521,575,39,2,2024-07-19 21:40:43,0.0,953.96
13492,222,37,1,2024-07-19 23:40:43,0.3,177.89799999999997
13082,118,35,3,2024-07-20 11:40:43,0.2,152.064
11781,446,6,4,2024-07-20 11:40:43,0.0,158.84
11343,420,25,2,2024-07-20 11:40:43,0.0,569.66
12963,783,30,3,2024-07-20 12:40:43,0.0,231.39
13013,428,43,1,2024-07-20 13:40:43,0.1,414.45
13945,10,13,2,2024-07-20 16:40:43,0.3,299.12399999999997
13742,68,29,2,2024-07-20 19:40:43,0.0,680.86
13969,667,23,5,2024-07-20 19:40:43,0.0,491.75
11338,60,45,2,2024-07-20 20:40:43,0.0,229.68
14745,19,45,2,2024-07-20 23:40:43,0.0,229.68
14400,258,10,3,2024-07-21 01:40:43,0.0,761.04
10642,69,41,4,2024-07-21 01:40:43,0.0,469.48
13866,10,19,4,2024-07-21 01:40:43,0.0,1257.0
13292,21,34,4,2024-07-21 07:40:43,0.0,1331.88
10253,728,38,2,2024-07-21 11:40:43,0.0,418.54
11672,244,45,2,2024-07-21 12:40:43,0.0,229.68
14843,193,17,4,2024-07-22 04:40:43,0.1,1710.144
10088,628,24,3,2024-07-22 12:40:43,0.2,563.304
10345,391,50,2,2024-07-22 19:40:43,0.0,367.94
11678,676,32,5,2024-07-23 08:40:43,0.0,1341.6999999999998
14432,808,21,3,2024-07-23 11:40:43,0.3,803.922
12112,83,33,5,2024-07-23 13:40:43,0.2,808.04
13941,180,42,4,2024-07-23 18:40:43,0.1,845.6039999999999
14565,312,30,2,2024-07-23 21:40:43,0.0,154.26
13159,214,17,3,2024-07-23 23:40:43,0.0,1425.1200000000001
13809,278,25,4,2024-07-24 07:40:43,0.2,911.456
11509,725,34,2,2024-07-24 13:40:43,0.0,665.94
14007,657,10,5,2024-07-24 15:40:43,0.0,1268.4
11066,258,43,3,2024-07-24 15:40:43,0.2,1105.2
13891,461,50,2,2024-07-24 20:40:43,0.0,367.94
12051,4,39,5,2024-07-25 02:40:43,0.0,2384.9
14232,293,16,5,2024-07-25 08:40:43,0.3,642.5649999999999
11550,156,28,5,2024-07-25 19:40:43,0.2,1799.4400000000003
12762,576,45,3,2024-07-26 00:40:43,0.0,344.52
10511,493,16,3,2024-07-26 03:40:43,0.0,550.77
11726,802,7,2,2024-07-26 04:40:43,0.0,696.2
