transaction_id,customer_id,product_id,quantity,transaction_date,discount_applied
11176,722,12,3,2024-07-02 12:40:43,0.0
11382,446,33,5,2024-07-02 13:40:43,0.0
11710,900,45,3,2024-07-02 17:40:43,0.0
12750,500,13,2,2024-07-02 18:40:43,0.0
11182,645,39,4,2024-07-02 20:40:43,0.0
13863,608,7,4,2024-07-02 21:40:43,0.0
12587,532,48,2,2024-07-02 23:40:43,0.0
12178,239,4,3,2024-07-03 10:40:43,0.0
14091,49,34,4,2024-07-03 12:40:43,0.1
12611,364,23,3,2024-07-03 13:40:43,0.0
13768,694,22,1,2024-07-03 17:40:43,0.3
10320,569,31,3,2024-07-03 20:40:43,0.0
13390,183,3,5,2024-07-04 01:40:43,0.0
12585,528,30,2,2024-07-04 06:40:43,0.0
10509,946,18,3,2024-07-04 07:40:43,0.0
10231,474,7,4,2024-07-04 10:40:43,0.0
14384,25,32,2,2024-07-05 05:40:43,0.0
11134,383,39,5,2024-07-05 06:40:43,0.0
11260,976,40,2,2024-07-05 09:40:43,0.0
14247,618,26,1,2024-07-05 20:40:43,0.0
12613,212,30,1,2024-07-06 04:40:43,0.1
10803,529,3,2,2024-07-06 05:40:43,0.0
13890,410,7,1,2024-07-06 09:40:43,0.1
12912,364,27,5,2024-07-06 10:40:43,0.0
13198,50,42,5,2024-07-06 11:40:43,0.1
12621,102,26,5,2024-07-06 16:40:43,0.0
13205,245,1,4,2024-07-06 16:40:43,0.0
13817,803,32,2,2024-07-06 23:40:43,0.0
13596,236,7,2,2024-07-07 01:40:43,0.2
12759,507,15,5,2024-07-07 02:40:43,0.1
12604,947,25,1,2024-07-07 08:40:43,0.2
11955,887,31,3,2024-07-07 13:40:43,0.0
14172,791,1,5,2024-07-07 14:40:43,0.0
10403,669,3,2,2024-07-08 05:40:43,0.1
11113,433,32,2,2024-07-08 15:40:43,0.1
11172,914,9,4,2024-07-09 00:40:43,0.0
14131,334,23,5,2024-07-09 04:40:43,0.0
10366,669,38,5,2024-07-09 06:40:43,0.1
13407,886,24,4,2024-07-09 09:40:43,0.2
11346,992,15,3,2024-07-09 12:40:43,0.0
11880,552,49,4,2024-07-09 14:40:43,0.0
10889,574,22,3,2024-07-09 16:40:43,0.1
10495,644,25,4,2024-07-09 23:40:43,0.2
13418,318,8,5,2024-07-10 01:40:43,0.0
11223,643,2,2,2024-07-10 02:40:43,0.0
10841,783,48,5,2024-07-10 15:40:43,0.0
11990,880,21,1,2024-07-10 22:40:43,0.2
12257,224,12,5,2024-07-11 07:40:43,0.1
14309,469,6,2,2024-07-11 14:40:43,0.1
14138,575,46,1,2024-07-11 21:40:43,0.0
14117,200,49,5,2024-07-11 21:40:43,0.0
11735,960,36,4,2024-07-11 22:40:43,0.2
13438,305,22,3,2024-07-12 01:40:43,0.0
14617,521,29,1,2024-07-12 02:40:43,0.2
11610,953,32,2,2024-07-12 05:40:43,0.0
12144,778,31,1,2024-07-12 10:40:43,0.2
10872,557,1,3,2024-07-12 11:40:43,0.0
13951,917,25,5,2024-07-12 11:40:43,0.1
11352,223,19,1,2024-07-12 17:40:43,0.2
10884,206,12,3,2024-07-12 22:40:43,0.0
13798,402,28,5,2024-07-12 23:40:43,0.2
12272,221,38,2,2024-07-12 23:40:43,0.0
13631,634,33,5,2024-07-13 00:40:43,0.0
13234,902,21,3,2024-07-13 01:40:43,0.0
13444,584,44,1,2024-07-13 04:40:43,0.0
11821,712,17,3,2024-07-13 17:40:43,0.0
13556,785,7,5,2024-07-13 19:40:43,0.0
10534,314,48,2,2024-07-14 02:40:43,0.0
14962,96,18,3,2024-07-14 05:40:43,0.0
12572,641,33,2,2024-07-14 09:40:43,0.1
13915,720,35,4,2024-07-14 11:40:43,0.0
13877,129,31,1,2024-07-14 12:40:43,0.0
14322,981,34,5,2024-07-14 15:40:43,0.3
13442,232,27,5,2024-07-14 17:40:43,0.0
14591,586,44,5,2024-07-14 18:40:43,0.0
12995,16,42,1,2024-07-14 20:40:43,0.0
14036,274,30,3,2024-07-14 23:40:43,0.0
